@RELATION LED_Gradual_Simple

@ATTRIBUTE 0 NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE class {0,1,2,3,4,5,6,7,8,9}

@DATA
0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1
1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,6
1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,6
1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,2
1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0
1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,5
0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1
0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,8
0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1
1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,7
1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,5
1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,6
0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1
0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,4
1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,3
1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0
0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,8
0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,4
1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0
1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,5
1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,7
1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0
1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,3
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,8
1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,6
1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,7
1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,3
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,8
0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1
1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,5
1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,5
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,8
0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,4
1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,2
0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,4
1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,5
0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1
1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0
0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1
1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,2
1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,3
1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,7
0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1
0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1
1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,5
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,8
1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,5
0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,4
1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,6
1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,7
1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,9
1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,3
1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,6
1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,6
1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,2
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,8
0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,4
1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,5
1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,5
1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,9
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,8
1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,6
1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0
1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,5
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,8
1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,3
0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,4
0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1
1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,9
1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,9
1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,7
0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,4
1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,3
1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0
0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,4
1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,7
1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,9
0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,4
1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,3
0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,4
1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,2
1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0
1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,2
1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,9
1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,9
1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,3
0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,4
1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,3
0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,4
0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,4
0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1
1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,9
1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,7
1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,7
1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,6
1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,9
1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,7
0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1
0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,4
1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,9
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,8
1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,7
1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,3
1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,6
1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,5
1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,2
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,8
0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,4
0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,4
1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,9
1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,9
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,8
0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,4
0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,4
1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,9
1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,3
1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0
