@RELATION RBF_Gradual_Moderate

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
1.078322,0.164854,0.475522,0.044691,0.251998,0.623160,1.287819,0.114926,0.833204,0.482265,0
0.707523,0.317049,0.912859,0.757090,0.905081,0.859140,0.251501,0.838784,0.142438,0.835585,1
0.597050,0.309143,0.126166,1.033188,0.557173,0.545483,0.671191,0.708214,0.262098,0.216745,1
0.562106,0.238442,0.705555,0.746851,0.173450,0.631241,0.722263,0.110149,0.830507,0.957707,0
0.774652,0.436668,0.767093,0.603340,-0.349779,0.378220,0.148643,1.245507,0.996251,0.482558,1
0.769128,0.342399,0.840340,0.557942,0.229995,0.579789,0.908528,0.009535,0.403305,0.933226,1
0.795344,0.875594,0.832671,0.247346,0.428066,0.080120,-0.023584,0.743028,0.844065,0.826477,0
0.094533,0.245147,0.277405,0.548637,0.178863,0.184258,0.084906,0.693683,0.254463,0.951876,1
0.508340,0.201119,0.793861,0.340130,0.270009,0.631930,0.753816,0.117605,0.323746,0.970886,1
0.444298,0.951352,0.263590,0.809059,0.080375,0.714688,0.638575,0.060610,0.480997,0.337920,0
0.235550,0.917436,0.434671,0.874394,0.552933,0.057781,0.987987,0.828011,0.956768,0.930035,0
0.603180,0.461952,0.467377,0.371760,0.794998,0.421708,0.759058,0.216029,0.295798,0.093945,0
0.542186,0.670675,0.752036,0.414121,0.467426,0.330719,0.854767,0.720159,0.184214,0.460689,1
0.021483,0.776081,0.526341,1.036972,0.557976,0.704739,-0.076091,0.119113,0.607226,0.685022,1
0.886421,0.710930,0.460003,0.529592,0.571195,-0.411332,0.182403,0.564356,0.167798,0.716679,1
0.364791,0.635840,0.235670,0.762229,0.036388,0.968909,0.454694,0.740353,0.689715,0.702737,1
0.572678,0.258316,0.402094,-0.123627,0.116449,0.134185,0.568176,0.867827,1.401336,-0.150303,1
0.770926,0.102418,0.592378,1.040904,0.339415,0.644150,0.557170,-0.072730,1.070792,1.204242,0
0.505545,0.251976,0.843209,0.487446,0.279359,0.483430,0.682044,0.226711,0.292219,1.041736,1
0.621242,0.845166,0.511431,0.201696,0.363336,0.166733,0.957408,0.916622,0.920514,0.590256,1
0.586338,0.176079,0.584817,0.772098,0.177566,0.726600,0.791134,0.137865,0.924942,1.081015,0
0.772847,0.347233,1.095514,0.653026,0.403735,0.670077,0.751939,0.100648,0.573744,0.962238,1
0.766055,0.363080,0.920770,0.747038,0.838091,0.849975,0.302127,0.831363,0.143776,0.829136,1
0.476553,0.519698,0.157774,0.815939,-0.031861,0.952225,0.590750,0.734458,0.848920,0.698150,1
0.653594,0.252315,0.092094,1.026766,0.540087,0.535417,0.782056,0.794832,0.229747,0.114926,1
0.713345,0.955479,0.824116,0.841154,0.723402,0.267062,0.758975,0.634773,0.513008,0.497024,0
0.784481,0.253108,0.873491,0.879908,0.850297,0.866722,0.324671,0.786673,0.083406,0.812573,1
