@RELATION STAGGER_Gradual_Chain

@ATTRIBUTE size NUMERIC
@ATTRIBUTE color NUMERIC
@ATTRIBUTE shape NUMERIC
@ATTRIBUTE class {0,1}

@DATA
0.000000,2.000000,2.000000,1
1.000000,0.000000,0.000000,1
0.000000,1.000000,0.000000,1
1.000000,2.000000,0.000000,1
1.000000,0.000000,0.000000,1
1.000000,1.000000,0.000000,1
2.000000,0.000000,0.000000,1
0.000000,2.000000,1.000000,1
1.000000,1.000000,1.000000,0
1.000000,1.000000,1.000000,0
1.000000,0.000000,1.000000,0
0.000000,1.000000,0.000000,1
2.000000,0.000000,0.000000,1
2.000000,0.000000,0.000000,1
0.000000,0.000000,1.000000,0
0.000000,2.000000,2.000000,1
1.000000,0.000000,2.000000,0
1.000000,1.000000,2.000000,0
1.000000,2.000000,2.000000,1
1.000000,0.000000,2.000000,0
2.000000,0.000000,1.000000,0
1.000000,0.000000,2.000000,0
2.000000,0.000000,0.000000,1
0.000000,2.000000,0.000000,1
0.000000,2.000000,0.000000,1
2.000000,2.000000,0.000000,1
2.000000,0.000000,0.000000,1
0.000000,1.000000,2.000000,0
1.000000,0.000000,1.000000,0
2.000000,2.000000,2.000000,1
1.000000,0.000000,2.000000,1
0.000000,0.000000,2.000000,0
1.000000,2.000000,1.000000,1
2.000000,2.000000,2.000000,1
0.000000,1.000000,2.000000,0
0.000000,0.000000,0.000000,1
2.000000,2.000000,0.000000,1
1.000000,1.000000,1.000000,0
0.000000,1.000000,1.000000,0
2.000000,1.000000,2.000000,0
0.000000,2.000000,0.000000,1
1.000000,2.000000,1.000000,1
0.000000,1.000000,0.000000,1
0.000000,1.000000,1.000000,0
0.000000,2.000000,2.000000,1
2.000000,1.000000,1.000000,0
2.000000,2.000000,0.000000,1
2.000000,2.000000,1.000000,1
0.000000,2.000000,1.000000,1
0.000000,2.000000,2.000000,1
2.000000,1.000000,1.000000,0
1.000000,1.000000,1.000000,0
1.000000,2.000000,0.000000,1
1.000000,2.000000,2.000000,1
1.000000,1.000000,1.000000,0
1.000000,2.000000,2.000000,1
0.000000,1.000000,1.000000,0
1.000000,2.000000,0.000000,1
2.000000,0.000000,1.000000,0
0.000000,2.000000,1.000000,1
0.000000,0.000000,0.000000,1
1.000000,0.000000,2.000000,0
2.000000,2.000000,0.000000,1
2.000000,0.000000,2.000000,0
2.000000,2.000000,0.000000,1
0.000000,1.000000,0.000000,1
2.000000,1.000000,1.000000,0
0.000000,0.000000,0.000000,1
2.000000,2.000000,1.000000,1
1.000000,1.000000,1.000000,0
2.000000,2.000000,0.000000,1
0.000000,0.000000,1.000000,0
2.000000,2.000000,0.000000,1
1.000000,0.000000,2.000000,0
2.000000,0.000000,2.000000,0
2.000000,2.000000,0.000000,1
1.000000,2.000000,0.000000,1
0.000000,1.000000,1.000000,0
1.000000,1.000000,2.000000,0
0.000000,1.000000,1.000000,0
1.000000,1.000000,0.000000,1
2.000000,1.000000,0.000000,1
2.000000,0.000000,0.000000,1
0.000000,2.000000,1.000000,0
0.000000,0.000000,1.000000,0
2.000000,0.000000,0.000000,1
2.000000,2.000000,0.000000,1
1.000000,0.000000,2.000000,0
1.000000,2.000000,1.000000,1
2.000000,1.000000,2.000000,0
0.000000,1.000000,1.000000,0
2.000000,0.000000,1.000000,0
1.000000,0.000000,1.000000,0
0.000000,0.000000,1.000000,0
2.000000,1.000000,1.000000,0
0.000000,2.000000,2.000000,1
2.000000,0.000000,1.000000,0
0.000000,0.000000,1.000000,0
2.000000,2.000000,0.000000,1
1.000000,2.000000,0.000000,1
2.000000,1.000000,2.000000,0
2.000000,1.000000,1.000000,0
1.000000,2.000000,0.000000,1
1.000000,2.000000,1.000000,1
0.000000,1.000000,0.000000,1
2.000000,0.000000,1.000000,0
1.000000,0.000000,0.000000,1
0.000000,1.000000,2.000000,0
2.000000,2.000000,1.000000,1
0.000000,0.000000,1.000000,0
2.000000,0.000000,1.000000,0
1.000000,2.000000,0.000000,1
2.000000,2.000000,2.000000,1
0.000000,0.000000,1.000000,0
1.000000,1.000000,0.000000,1
1.000000,0.000000,2.000000,0
2.000000,0.000000,0.000000,1
1.000000,1.000000,2.000000,0
2.000000,0.000000,2.000000,0
1.000000,1.000000,2.000000,0
1.000000,1.000000,2.000000,0
2.000000,2.000000,2.000000,1
1.000000,2.000000,2.000000,1
1.000000,1.000000,2.000000,1
2.000000,0.000000,0.000000,1
1.000000,0.000000,0.000000,1
0.000000,0.000000,1.000000,0
1.000000,1.000000,2.000000,0
0.000000,0.000000,1.000000,0
0.000000,1.000000,0.000000,0
0.000000,0.000000,0.000000,0
1.000000,1.000000,0.000000,1
2.000000,0.000000,1.000000,0
1.000000,1.000000,1.000000,1
0.000000,2.000000,1.000000,1
2.000000,2.000000,0.000000,1
0.000000,1.000000,1.000000,0
2.000000,2.000000,2.000000,1
2.000000,2.000000,1.000000,1
2.000000,2.000000,0.000000,1
2.000000,0.000000,0.000000,1
2.000000,1.000000,1.000000,1
1.000000,1.000000,1.000000,0
2.000000,0.000000,0.000000,1
0.000000,0.000000,0.000000,1
1.000000,1.000000,1.000000,1
0.000000,0.000000,0.000000,1
0.000000,2.000000,1.000000,1
0.000000,2.000000,1.000000,1
1.000000,0.000000,1.000000,1
0.000000,2.000000,2.000000,1
0.000000,1.000000,1.000000,0
2.000000,0.000000,1.000000,0
2.000000,2.000000,0.000000,1
1.000000,0.000000,0.000000,1
2.000000,0.000000,2.000000,0
0.000000,0.000000,0.000000,1
0.000000,0.000000,0.000000,1
0.000000,0.000000,0.000000,1
1.000000,2.000000,1.000000,1
0.000000,1.000000,0.000000,1
2.000000,2.000000,0.000000,1
1.000000,2.000000,0.000000,1
1.000000,2.000000,2.000000,1
1.000000,2.000000,0.000000,1
0.000000,0.000000,0.000000,1
0.000000,1.000000,1.000000,0
2.000000,1.000000,0.000000,1
1.000000,1.000000,1.000000,0
0.000000,2.000000,0.000000,1
2.000000,0.000000,0.000000,1
2.000000,2.000000,2.000000,1
1.000000,0.000000,2.000000,0
2.000000,2.000000,0.000000,1
1.000000,1.000000,0.000000,1
0.000000,1.000000,2.000000,0
1.000000,1.000000,2.000000,0
1.000000,2.000000,0.000000,1
2.000000,2.000000,2.000000,1
0.000000,0.000000,1.000000,0
0.000000,2.000000,0.000000,1
0.000000,0.000000,2.000000,0
1.000000,0.000000,1.000000,1
1.000000,1.000000,0.000000,1
1.000000,0.000000,2.000000,0
1.000000,2.000000,1.000000,1
0.000000,1.000000,0.000000,1
0.000000,1.000000,1.000000,0
1.000000,1.000000,0.000000,1
0.000000,1.000000,2.000000,0
2.000000,2.000000,2.000000,1
2.000000,1.000000,2.000000,1
0.000000,1.000000,0.000000,1
1.000000,0.000000,2.000000,0
0.000000,2.000000,2.000000,1
1.000000,1.000000,0.000000,1
0.000000,2.000000,2.000000,1
2.000000,2.000000,0.000000,1
2.000000,1.000000,1.000000,1
1.000000,0.000000,2.000000,0
1.000000,2.000000,1.000000,1
2.000000,0.000000,1.000000,0
1.000000,2.000000,2.000000,1
0.000000,2.000000,1.000000,1
0.000000,1.000000,2.000000,0
2.000000,0.000000,2.000000,0
0.000000,2.000000,2.000000,0
0.000000,2.000000,2.000000,1
1.000000,2.000000,2.000000,1
0.000000,1.000000,0.000000,1
2.000000,2.000000,2.000000,1
1.000000,2.000000,2.000000,1
0.000000,2.000000,1.000000,0
2.000000,1.000000,2.000000,1
2.000000,1.000000,1.000000,0
1.000000,0.000000,0.000000,1
2.000000,0.000000,0.000000,1
1.000000,1.000000,2.000000,0
2.000000,0.000000,0.000000,1
2.000000,0.000000,0.000000,1
1.000000,1.000000,2.000000,1
2.000000,1.000000,1.000000,0
2.000000,1.000000,2.000000,0
0.000000,2.000000,0.000000,1
2.000000,2.000000,0.000000,1
1.000000,1.000000,1.000000,1
0.000000,1.000000,0.000000,0
1.000000,1.000000,2.000000,0
2.000000,2.000000,1.000000,1
0.000000,0.000000,1.000000,0
0.000000,0.000000,0.000000,1
2.000000,2.000000,2.000000,1
2.000000,2.000000,1.000000,1
2.000000,0.000000,1.000000,0
2.000000,2.000000,0.000000,1
1.000000,2.000000,2.000000,1
0.000000,1.000000,0.000000,1
0.000000,1.000000,1.000000,0
2.000000,1.000000,0.000000,1
0.000000,0.000000,2.000000,0
2.000000,2.000000,1.000000,1
2.000000,1.000000,2.000000,1
0.000000,1.000000,1.000000,0
2.000000,0.000000,0.000000,1
2.000000,0.000000,2.000000,0
2.000000,2.000000,2.000000,1
0.000000,2.000000,2.000000,1
1.000000,0.000000,2.000000,0
2.000000,1.000000,1.000000,1
1.000000,0.000000,1.000000,0
1.000000,0.000000,0.000000,1
0.000000,0.000000,1.000000,0
1.000000,2.000000,1.000000,1
0.000000,2.000000,1.000000,1
0.000000,0.000000,1.000000,0
2.000000,1.000000,0.000000,1
0.000000,0.000000,0.000000,1
2.000000,0.000000,1.000000,0
0.000000,1.000000,1.000000,0
1.000000,0.000000,0.000000,1
