@RELATION STAGGER_Abrupt_Chain_Noise

@ATTRIBUTE size NUMERIC
@ATTRIBUTE color NUMERIC
@ATTRIBUTE shape NUMERIC
@ATTRIBUTE class {0,1}

@DATA
2.000000,-0.036364,1.000000,1
1.000000,1.061092,2.000000,1
1.000000,1.926665,1.000000,1
0.000000,0.925795,1.000000,0
1.000000,1.981592,1.000000,1
0.000000,1.014524,2.000000,0
0.000000,1.966311,2.000000,0
2.000000,1.030915,1.000000,1
0.000000,1.021756,1.000000,0
2.000000,1.939154,2.000000,1
2.000000,0.980295,2.000000,1
2.000000,1.764907,0.000000,1
0.000000,1.912790,2.000000,0
0.000000,1.070764,0.000000,0
1.000000,-0.130579,2.000000,1
1.000000,1.127336,1.000000,1
1.000000,0.967693,2.000000,1
1.000000,0.051403,0.000000,1
0.000000,1.008582,2.000000,0
0.000000,1.991844,0.000000,0
2.000000,2.065936,2.000000,1
0.000000,1.019069,0.000000,0
1.000000,2.177655,0.000000,1
0.000000,2.020055,2.000000,0
2.000000,0.144460,2.000000,1
1.000000,-0.112243,2.000000,1
2.000000,1.127440,0.000000,1
1.000000,1.106786,0.000000,1
2.000000,1.974663,0.000000,1
1.000000,1.028133,0.000000,1
2.000000,1.918860,1.000000,1
2.000000,-0.110670,2.000000,1
1.000000,0.125714,1.000000,1
1.000000,2.065252,1.000000,1
0.000000,2.158353,0.000000,0
2.000000,-0.007692,1.000000,1
2.000000,2.003408,2.000000,1
2.000000,1.867014,2.000000,1
1.000000,-0.007557,2.000000,1
1.000000,1.017985,2.000000,1
2.000000,0.015007,2.000000,1
0.000000,1.061362,1.000000,0
0.000000,2.067886,1.000000,0
2.000000,0.011189,1.000000,1
2.000000,2.095718,2.000000,1
2.000000,0.857640,2.000000,1
1.000000,1.038438,2.000000,1
2.000000,0.907612,0.000000,1
0.000000,0.029861,0.000000,0
0.000000,2.162132,1.000000,0
0.000000,0.786405,1.000000,0
1.000000,1.934017,1.000000,1
1.000000,-0.087699,0.000000,1
2.000000,0.069996,2.000000,1
0.000000,1.190372,1.000000,0
2.000000,1.115963,0.000000,1
0.000000,1.820288,1.000000,0
0.000000,1.079218,0.000000,0
0.000000,1.049835,0.000000,0
2.000000,1.011076,1.000000,1
1.000000,2.017743,0.000000,1
1.000000,0.855322,0.000000,1
1.000000,1.055042,0.000000,1
0.000000,-0.112097,1.000000,0
1.000000,2.013531,2.000000,1
0.000000,0.983568,1.000000,0
2.000000,0.914833,0.000000,1
0.000000,0.033105,2.000000,0
1.000000,1.088128,0.000000,1
2.000000,0.886551,0.000000,1
0.000000,0.037623,2.000000,0
0.000000,2.011372,0.000000,0
0.000000,1.977736,2.000000,0
2.000000,1.983513,1.000000,1
2.000000,2.297189,0.000000,1
0.000000,1.966467,0.000000,0
1.000000,1.955369,1.000000,1
0.000000,2.055892,2.000000,0
0.000000,2.294736,0.000000,0
1.000000,-0.023042,2.000000,1
2.000000,-0.021686,2.000000,1
2.000000,2.019999,2.000000,1
0.000000,0.013326,2.000000,0
1.000000,1.933889,0.000000,1
0.000000,-0.051820,2.000000,0
1.000000,2.105367,2.000000,1
0.000000,2.040531,0.000000,0
0.000000,0.990907,0.000000,0
0.000000,1.060404,1.000000,0
0.000000,1.067033,2.000000,0
1.000000,2.011109,0.000000,1
0.000000,0.925045,0.000000,0
1.000000,1.145672,2.000000,1
2.000000,0.991066,0.000000,1
0.000000,2.141424,0.000000,0
1.000000,-0.053566,1.000000,1
1.000000,-0.040428,1.000000,1
0.000000,1.032304,0.000000,0
1.000000,2.139946,0.000000,1
1.000000,0.088001,2.000000,1
2.000000,0.940641,0.000000,1
1.000000,0.989171,0.000000,1
2.000000,2.055476,2.000000,1
0.000000,0.824079,0.000000,0
0.000000,-0.083320,1.000000,0
2.000000,-0.093375,2.000000,1
2.000000,2.182273,2.000000,1
0.000000,0.976841,2.000000,0
2.000000,1.908811,2.000000,1
1.000000,0.790852,1.000000,1
0.000000,1.935580,2.000000,0
0.000000,0.082028,2.000000,0
0.000000,-0.196598,0.000000,0
1.000000,0.058105,0.000000,1
0.000000,-0.031181,1.000000,0
1.000000,2.089966,2.000000,1
1.000000,0.054277,1.000000,1
0.000000,1.977074,2.000000,0
1.000000,0.808339,0.000000,1
2.000000,2.020465,2.000000,1
0.000000,0.078533,0.000000,0
0.000000,1.045185,1.000000,0
2.000000,-0.068991,2.000000,1
0.000000,1.936250,1.000000,0
0.000000,-0.025487,0.000000,0
0.000000,2.184722,2.000000,0
2.000000,0.009498,2.000000,1
1.000000,1.835321,2.000000,1
1.000000,0.036764,0.000000,1
2.000000,1.260186,2.000000,1
1.000000,-0.238805,1.000000,1
0.000000,1.961788,1.000000,0
0.000000,1.004049,1.000000,0
2.000000,1.924590,2.000000,1
0.000000,0.039725,1.000000,0
2.000000,-0.013242,2.000000,1
1.000000,1.075135,1.000000,1
2.000000,0.019760,2.000000,1
2.000000,1.127226,1.000000,1
1.000000,0.874698,2.000000,1
1.000000,2.034433,2.000000,1
1.000000,0.932659,0.000000,1
2.000000,2.025067,1.000000,1
0.000000,1.938833,0.000000,0
0.000000,1.914590,1.000000,0
1.000000,1.966845,2.000000,1
2.000000,1.858594,0.000000,1
1.000000,2.114108,1.000000,1
0.000000,0.023550,2.000000,0
1.000000,0.863367,2.000000,1
1.000000,-0.051811,2.000000,1
0.000000,2.016211,0.000000,0
2.000000,0.975919,0.000000,1
1.000000,0.105020,0.000000,1
1.000000,1.161577,1.000000,1
2.000000,2.048971,0.000000,1
1.000000,2.123596,2.000000,1
1.000000,-0.041274,2.000000,1
1.000000,0.021483,0.000000,1
2.000000,0.020783,0.000000,1
0.000000,0.890162,2.000000,0
0.000000,1.953318,2.000000,0
0.000000,0.047742,0.000000,0
1.000000,0.015359,2.000000,1
0.000000,2.067648,2.000000,0
2.000000,2.107147,2.000000,1
0.000000,1.773620,1.000000,0
2.000000,0.860808,1.000000,1
2.000000,0.027933,1.000000,1
2.000000,2.056542,1.000000,1
2.000000,-0.087047,0.000000,1
2.000000,-0.048426,0.000000,1
0.000000,-0.004879,0.000000,0
0.000000,2.032702,1.000000,0
2.000000,0.134572,2.000000,1
0.000000,1.129998,1.000000,0
0.000000,1.858776,0.000000,0
1.000000,1.953361,1.000000,1
0.000000,2.023938,0.000000,0
1.000000,0.961146,2.000000,1
2.000000,1.021951,0.000000,1
2.000000,0.085800,0.000000,1
2.000000,-0.045875,0.000000,1
2.000000,-0.045314,2.000000,1
0.000000,1.137323,2.000000,0
1.000000,-0.145287,0.000000,1
1.000000,1.012850,1.000000,1
1.000000,2.143662,1.000000,1
2.000000,0.936605,0.000000,1
1.000000,-0.003533,0.000000,1
0.000000,1.866207,1.000000,0
0.000000,1.889696,2.000000,0
1.000000,0.924000,1.000000,1
