@RELATION Electricity

@ATTRIBUTE date NUMERIC
@ATTRIBUTE day NUMERIC
@ATTRIBUTE period NUMERIC
@ATTRIBUTE nswprice NUMERIC
@ATTRIBUTE nswdemand NUMERIC
@ATTRIBUTE vicprice NUMERIC
@ATTRIBUTE vicdemand NUMERIC
@ATTRIBUTE transfer NUMERIC
@ATTRIBUTE class {0,1}

@DATA
0.004867,1.000000,0.680851,0.106161,0.574085,0.003467,0.422915,0.414912,1
0.004867,1.000000,0.702128,0.164615,0.637459,0.003467,0.422915,0.414912,1
0.004867,1.000000,0.723404,0.166777,0.716453,0.003467,0.422915,0.414912,1
0.004867,1.000000,0.744681,0.166777,0.780422,0.003467,0.422915,0.414912,1
0.004867,1.000000,0.765957,0.149664,0.768968,0.003467,0.422915,0.414912,1
0.004867,1.000000,0.787234,0.140417,0.733561,0.003467,0.422915,0.414912,1
0.004867,1.000000,0.808511,0.106161,0.693395,0.003467,0.422915,0.414912,1
0.004867,1.000000,0.829787,0.089798,0.662005,0.003467,0.422915,0.414912,1
0.004867,1.000000,0.851064,0.139726,0.625260,0.003467,0.422915,0.414912,1
0.004867,1.000000,0.872340,0.120151,0.601904,0.003467,0.422915,0.414912,1
0.004867,1.000000,0.893617,0.104750,0.549093,0.003467,0.422915,0.414912,1
0.004867,1.000000,0.914894,0.081452,0.496727,0.003467,0.422915,0.414912,0
0.004867,1.000000,0.936170,0.106161,0.531836,0.003467,0.422915,0.414912,1
0.004867,1.000000,0.957447,0.106161,0.516067,0.003467,0.422915,0.414912,1
0.004867,1.000000,0.978723,0.106161,0.530943,0.003467,0.422915,0.414912,1
0.004867,1.000000,1.000000,0.106161,0.523951,0.003467,0.422915,0.414912,1
0.004911,2.000000,0.000000,0.106161,0.518149,0.003467,0.422915,0.414912,1
0.004911,2.000000,0.021277,0.103999,0.497025,0.003467,0.422915,0.414912,1
0.004911,2.000000,0.042553,0.106161,0.473073,0.003467,0.422915,0.414912,1
0.004911,2.000000,0.063830,0.075207,0.407319,0.003467,0.422915,0.414912,0
0.004911,2.000000,0.085106,0.075207,0.349747,0.003467,0.422915,0.414912,0
0.004911,2.000000,0.106383,0.077879,0.302440,0.003467,0.422915,0.414912,0
0.004911,2.000000,0.127660,0.077879,0.252008,0.003467,0.422915,0.414912,0
0.004911,2.000000,0.148936,0.075207,0.220024,0.003467,0.422915,0.414912,0
0.004911,2.000000,0.170213,0.074997,0.193544,0.003467,0.422915,0.414912,0
0.004911,2.000000,0.191489,0.074727,0.184023,0.003467,0.422915,0.414912,0
0.004911,2.000000,0.212766,0.075267,0.216007,0.003467,0.422915,0.414912,0
0.004911,2.000000,0.234043,0.077879,0.260339,0.003467,0.422915,0.414912,0
0.004911,2.000000,0.255319,0.086075,0.368789,0.003467,0.422915,0.414912,0
0.004911,2.000000,0.276596,0.099766,0.479917,0.003467,0.422915,0.414912,1
0.004911,2.000000,0.297872,0.081452,0.520083,0.003467,0.422915,0.414912,0
0.004911,2.000000,0.319149,0.090729,0.603541,0.003467,0.422915,0.414912,0
0.004911,2.000000,0.340426,0.090729,0.619458,0.003467,0.422915,0.414912,0
0.004911,2.000000,0.361702,0.077669,0.613359,0.003467,0.422915,0.414912,0
0.004911,2.000000,0.382979,0.091119,0.640732,0.003467,0.422915,0.414912,0
0.004911,2.000000,0.404255,0.091119,0.645195,0.003467,0.422915,0.414912,0
0.004911,2.000000,0.425532,0.091119,0.613359,0.003467,0.422915,0.414912,0
0.004911,2.000000,0.446809,0.077669,0.584350,0.003467,0.422915,0.414912,0
0.004911,2.000000,0.468085,0.090729,0.557423,0.003467,0.422915,0.414912,0
0.004911,2.000000,0.489362,0.090729,0.547456,0.003467,0.422915,0.414912,0
0.004911,2.000000,0.510638,0.077669,0.535406,0.003467,0.422915,0.414912,0
0.004911,2.000000,0.531915,0.090729,0.524398,0.003467,0.422915,0.414912,0
0.004911,2.000000,0.553191,0.077669,0.518149,0.003467,0.422915,0.414912,0
0.004911,2.000000,0.574468,0.077669,0.510562,0.003467,0.422915,0.414912,0
0.004911,2.000000,0.595745,0.077669,0.492711,0.003467,0.422915,0.414912,0
0.004911,2.000000,0.617021,0.077669,0.479024,0.003467,0.422915,0.414912,0
0.004911,2.000000,0.638298,0.075207,0.473669,0.003467,0.422915,0.414912,0
0.004911,2.000000,0.659574,0.077669,0.484528,0.003467,0.422915,0.414912,0
0.004911,2.000000,0.680851,0.077669,0.508182,0.003467,0.422915,0.414912,0
0.004911,2.000000,0.702128,0.104750,0.566796,0.003467,0.422915,0.414912,1
0.004911,2.000000,0.723404,0.091119,0.661559,0.003467,0.422915,0.414912,0
0.004911,2.000000,0.744681,0.091119,0.737281,0.003467,0.422915,0.414912,0
0.004911,2.000000,0.765957,0.091119,0.740702,0.003467,0.422915,0.414912,0
0.004911,2.000000,0.787234,0.091119,0.710057,0.003467,0.422915,0.414912,1
0.004911,2.000000,0.808511,0.091119,0.671080,0.003467,0.422915,0.414912,1
0.004911,2.000000,0.829787,0.090729,0.641922,0.003467,0.422915,0.414912,1
0.004911,2.000000,0.851064,0.091119,0.624814,0.003467,0.422915,0.414912,1
0.004911,2.000000,0.872340,0.091119,0.598036,0.003467,0.422915,0.414912,1
0.004911,2.000000,0.893617,0.091119,0.546117,0.003467,0.422915,0.414912,1
0.004911,2.000000,0.914894,0.077669,0.496430,0.003467,0.422915,0.414912,0
0.004911,2.000000,0.936170,0.094122,0.523802,0.003467,0.422915,0.414912,1
0.004911,2.000000,0.957447,0.090729,0.518596,0.003467,0.422915,0.414912,1
0.004911,2.000000,0.978723,0.098295,0.530794,0.003467,0.422915,0.414912,1
0.004911,2.000000,1.000000,0.090729,0.521422,0.003467,0.422915,0.414912,1
0.004956,3.000000,0.000000,0.094602,0.516959,0.003467,0.422915,0.414912,1
0.004956,3.000000,0.021277,0.095653,0.493901,0.003467,0.422915,0.414912,1
0.004956,3.000000,0.042553,0.083884,0.466379,0.003467,0.422915,0.414912,0
0.004956,3.000000,0.063830,0.056173,0.408063,0.003467,0.422915,0.414912,0
0.004956,3.000000,0.085106,0.071604,0.353764,0.003467,0.422915,0.414912,0
0.004956,3.000000,0.106383,0.075207,0.300655,0.003467,0.422915,0.414912,0
0.004956,3.000000,0.127660,0.075207,0.257810,0.003467,0.422915,0.414912,0
0.004956,3.000000,0.148936,0.075207,0.223445,0.003467,0.422915,0.414912,0
0.004956,3.000000,0.170213,0.042272,0.202618,0.003467,0.422915,0.414912,0
0.004956,3.000000,0.191489,0.056173,0.200982,0.003467,0.422915,0.414912,0
0.004956,3.000000,0.212766,0.056323,0.228057,0.003467,0.422915,0.414912,0
0.004956,3.000000,0.234043,0.056323,0.278489,0.003467,0.422915,0.414912,0
0.004956,3.000000,0.255319,0.056323,0.385302,0.003467,0.422915,0.414912,0
0.004956,3.000000,0.276596,0.090309,0.505504,0.003467,0.422915,0.414912,1
