@relation SINE_Stationary

@attribute attr0 numeric
@attribute attr1 numeric
@attribute class {0,1}

@data
0.3789217702113919,0.6897590653688189,1
0.935251174716034,0.0159072384958964,0
0.8262466560627606,0.1293221772867994,0
0.6856506797278676,0.2444129377647534,0
0.7028106060627409,0.2656176983737586,0
0.4088043268050884,0.4190696164844356,0
0.2682231863760597,0.4686893549948562,1
0.149621967483607,0.8529277378526307,1
0.2703430460782248,0.8958264027445094,1
0.0954346468559333,0.0483800355598178,0
0.4429552712456268,0.7384921870468366,1
0.0935914811257748,0.5231162966550641,1
0.5326723821717871,0.5912388923857896,1
0.0205040736112177,0.1451733713916209,1
0.919702667062859,0.3491670114150895,0
0.7522664444976831,0.3481498460820305,0
0.6864228569185894,0.6485366073542447,0
0.317582155621698,0.0036810480300627,0
0.5828224928409673,0.2676832677156301,0
0.8903186068870632,0.0672212839105406,0
0.083619232876332,0.0870264282965771,1
0.1402432818357143,0.7438522589553587,1
0.0538714739161534,0.5818894129576996,1
0.134097598782493,0.5597902130181135,1
0.9093982459434196,0.5759168532923147,0
0.1570149513532147,0.8086873628447871,1
0.0288601813021134,0.4341758433769898,1
0.4782804299286919,0.1184400023545,0
0.1343568996066519,0.4569302095908887,1
0.3681282778867282,0.1924451667745735,0
0.229350172451204,0.6755673579261859,1
0.9242047340478988,0.9764612887187888,0
0.8053314482518312,0.7875224801094998,0
0.2274932255165618,0.169433718750812,0
0.4969134900273064,0.1527978535508126,0
0.536343995761508,0.7355511297274933,1
0.7756489340857051,0.8324955719757826,0
0.2736181789639008,0.4389210129718438,1
0.4219840817944456,0.5074167890721853,1
0.5571666875938912,0.1189475781759146,0
0.2826339401066059,0.1036006591101302,0
0.8933839617520427,0.3659177681881582,0
0.5517858041917169,0.0704164377930617,0
0.6636477433587153,0.8007079937724528,1
0.7571067945086196,0.9707712887801804,1
0.2477840034018729,0.6025277236461845,1
0.4986857135810413,0.9945418010849532,1
0.5828784111247788,0.2039695265890208,0
0.7016951118092538,0.5471894696916342,0
0.4182469103196831,0.9036227269892866,1
0.8429189015882472,0.0492513017495671,0
0.2642953277426508,0.1055756670290791,0
0.4073962851782897,0.0686570687407013,0
0.3329309474276019,0.9320160731439278,1
0.3670463522849367,0.7064236659672326,1
0.1877653683161253,0.8397335412466864,1
0.0496932464205264,0.7635593373755807,1
0.9724197298201476,0.4263059191569844,0
0.2829932628262767,0.2802185850713908,0
0.4372551052081653,0.5234253698287132,1
0.2853605049434587,0.7768848032258258,1
0.5527776994694455,0.1092686407214439,0
0.8704041580126352,0.0251877126268054,0
0.5385286931127127,0.0637070722144108,0
0.8972650648413157,0.4816421106582764,0
0.0152632066523544,0.531899047704382,1
0.4124742210984083,0.7980598189123068,1
0.5266047438832114,0.9912529275071428,1
0.741357618591376,0.8479144500366068,1
0.1617010481852029,0.7475092180751771,1
0.8579321106270379,0.7639625424134708,0
0.9600236075589836,0.7507604974500667,0
0.7188890218137385,0.6670903238853892,0
0.510816845329706,0.1275723580608568,0
0.4230721378048749,0.7368109082219982,1
0.1146253128021271,0.1620603040200436,1
0.1993658788517918,0.9462939263128706,1
0.6731406274916717,0.8062908384597548,1
0.2641500448396701,0.9772445025745904,1
0.2764581934485958,0.1564527825626814,0
0.5099531571197302,0.8596486736574379,1
0.4165838138176823,0.3878596963199294,0
0.1005078904759874,0.2752222762189338,1
0.5499543891927302,0.453734948417242,0
0.5860622251234333,0.3720605769889067,0
0.2617453399003424,0.9340619321050412,1
0.5145234413366769,0.4985181471014999,0
0.7229639504854396,0.1042069598332893,0
0.3640531040027702,0.8238882556329732,1
0.5851326800590365,0.0559460098138953,0
0.2501990574015604,0.3228237409891527,1
0.118111711646855,0.2900372791576011,1
0.3726347263168721,0.0516089738961138,0
0.5175304878542323,0.4082144858339243,0
0.4194814366071026,0.5239296976556675,1
0.6923892438355346,0.1845002237340588,0
0.1782393819628824,0.4180577858062835,1
0.93908407483503,0.6798682627438289,0
0.0811535423684193,0.7919935490683468,1
0.1319738301296267,0.7813561434481159,1
0.9423809961579884,0.439835494494548,0
0.0199314049896407,0.6249665584380256,1
0.7565353085566393,0.3180418805132707,0
0.4337180504679465,0.7613206629558,1
0.7320028762774852,0.9242861433561216,1
0.8766689015312262,0.864660464380464,0
0.892350712533729,0.5481836106359005,0
0.2782651252003865,0.5610552550402716,1
0.1080890559654043,0.5560107223498008,1
0.588340481842902,0.7724310159690613,1
0.696110702691885,0.2132981132742626,0
0.4179632007337467,0.7473204554833082,1
0.2130649612999298,0.7325798235155951,1
0.8806608135607166,0.356701372048978,0
0.3593097308891468,0.7908497338623085,1
0.9460213454440464,0.6905597646989297,0
0.914937110386766,0.4544757932963603,0
0.7522497664836494,0.7423832762822946,0
0.0633635629331536,0.2273873097840807,1
0.6783009260411845,0.6468087410354,0
0.9307942892234828,0.5631224704419944,0
0.5107059952935675,0.05034832846305,0
0.3331533463364963,0.7074116158441739,1
0.9304689213241546,0.3996766438345617,0
0.9465437952043472,0.616644695413663,0
0.2061080517620147,0.583732985032594,1
0.5642128798032024,0.2664501123428915,0
0.9716193321111354,0.6093526317592294,0
0.0441865027422199,0.0919732050992437,1
0.8957789544247368,0.6022242562901625,0
0.6820266294229065,0.9111592573043946,1
0.3523150731554944,0.892011722371608,1
0.8286581132790436,0.972370920938197,0
0.4247302505171023,0.6659193201304163,1
