@RELATION AGRAWAL_Gradual_Chain

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
51.000000,18.000000,0.000000,4.000000,188739.750507,26.000000,416192.803464,138810.632422,5.000000,0
80.000000,17.000000,51328.770675,1.000000,766343.085341,3.000000,329031.563731,24461.959158,0.000000,0
23.000000,5.000000,0.000000,4.000000,140627.060833,14.000000,56706.278848,117787.763058,7.000000,0
43.000000,2.000000,0.000000,3.000000,979393.502160,6.000000,161153.025216,130512.649384,1.000000,0
20.000000,16.000000,25836.618069,3.000000,113976.213197,24.000000,166110.602846,58648.447996,7.000000,1
74.000000,1.000000,26467.792123,2.000000,312129.512554,2.000000,208651.144572,49699.609456,5.000000,0
62.000000,9.000000,0.000000,4.000000,446101.667033,3.000000,113185.129637,103888.669301,5.000000,0
50.000000,19.000000,0.000000,3.000000,0.000000,5.000000,345277.338604,80676.607563,8.000000,1
27.000000,14.000000,14641.330649,2.000000,0.000000,17.000000,59984.639373,50006.261578,8.000000,0
34.000000,1.000000,0.000000,2.000000,0.000000,11.000000,227196.661683,110061.133163,8.000000,0
41.000000,7.000000,0.000000,3.000000,684715.083065,11.000000,160396.432228,75785.944996,3.000000,0
29.000000,8.000000,55049.223713,1.000000,259909.556522,7.000000,468695.721116,46881.540874,3.000000,0
35.000000,11.000000,14752.363301,3.000000,271952.996348,5.000000,42694.639673,35809.047824,3.000000,1
27.000000,12.000000,0.000000,1.000000,123861.596711,12.000000,185975.147120,90584.825504,6.000000,0
75.000000,6.000000,17413.126819,3.000000,640283.714532,20.000000,105595.517076,50863.612996,2.000000,0
65.000000,2.000000,44722.622607,3.000000,121437.854507,11.000000,258609.048945,45654.566749,7.000000,0
28.000000,5.000000,27665.354124,0.000000,0.000000,26.000000,438645.574355,37106.929596,8.000000,0
42.000000,15.000000,0.000000,2.000000,963910.103947,22.000000,206415.000909,142334.119124,0.000000,0
68.000000,12.000000,45494.181403,2.000000,1002247.166774,12.000000,222275.606685,33633.398366,0.000000,0
34.000000,3.000000,59236.893041,2.000000,350902.210460,3.000000,380228.112313,73244.066305,5.000000,0
56.000000,10.000000,0.000000,3.000000,499404.897394,4.000000,138693.095460,105162.948446,0.000000,0
60.000000,20.000000,0.000000,1.000000,433398.348269,28.000000,141207.544809,113883.392715,5.000000,0
