@RELATION AGRAWAL_Gradual_Chain

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
70.000000,5.000000,84500.521696,1.000000,320501.329765,24.000000,78386.456793,45766.250238,3.000000,0
71.000000,4.000000,0.000000,1.000000,94812.664732,6.000000,324276.628878,109015.688726,7.000000,0
68.000000,12.000000,14380.250396,4.000000,731668.333247,1.000000,139246.376471,36946.229418,0.000000,1
70.000000,20.000000,0.000000,0.000000,138879.954312,15.000000,400607.416601,106902.871625,7.000000,0
41.000000,1.000000,0.000000,2.000000,348375.792649,1.000000,251973.603993,147130.239545,3.000000,0
72.000000,1.000000,60839.841041,3.000000,321387.169999,13.000000,217882.749429,53232.729691,5.000000,0
74.000000,3.000000,0.000000,3.000000,139099.520928,17.000000,160479.550842,110077.509418,7.000000,0
22.000000,11.000000,0.000000,4.000000,357429.863341,23.000000,473928.260424,78170.024393,2.000000,1
38.000000,8.000000,0.000000,1.000000,430714.689327,16.000000,200704.148250,110910.147604,2.000000,0
21.000000,13.000000,67616.815278,3.000000,681604.474751,19.000000,284619.110491,21235.629252,0.000000,1
46.000000,16.000000,81386.282889,4.000000,342432.199882,1.000000,56046.014494,31056.241289,4.000000,1
74.000000,12.000000,76773.979324,0.000000,0.000000,5.000000,221656.956288,45169.652801,8.000000,0
74.000000,3.000000,67166.101851,4.000000,88934.589137,9.000000,290929.342797,21523.346688,7.000000,0
51.000000,19.000000,33458.730390,2.000000,326461.840029,7.000000,261729.922640,54476.709971,5.000000,1
57.000000,15.000000,0.000000,1.000000,630134.044712,10.000000,102021.651802,146005.938816,1.000000,0
23.000000,12.000000,0.000000,3.000000,105832.721925,22.000000,356555.747496,92888.996897,7.000000,1
41.000000,2.000000,0.000000,1.000000,848188.534153,14.000000,371638.863456,91354.299019,2.000000,1
