@RELATION AGRAWAL_Abrupt_Simple_Severe

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
39.000000,20.000000,69580.290354,1.000000,486639.013325,15.000000,192278.897677,27013.729654,2.000000,0
39.000000,5.000000,0.000000,1.000000,0.000000,2.000000,454395.348215,88725.788371,8.000000,1
49.000000,10.000000,43175.310005,3.000000,584385.244327,21.000000,97376.708031,73478.530895,3.000000,0
60.000000,1.000000,0.000000,0.000000,423833.622486,14.000000,217869.354363,84127.383283,4.000000,0
34.000000,14.000000,0.000000,3.000000,52521.508399,21.000000,363577.776968,81202.388525,7.000000,1
21.000000,6.000000,0.000000,0.000000,364698.241692,18.000000,288854.674700,92175.179320,2.000000,1
69.000000,2.000000,0.000000,4.000000,248767.629620,1.000000,460536.685530,145599.188109,6.000000,0
36.000000,12.000000,61753.704979,3.000000,632965.483802,16.000000,312822.893984,32246.808065,0.000000,0
29.000000,18.000000,45465.911898,4.000000,282310.441237,22.000000,370561.220873,33024.093582,5.000000,0
65.000000,20.000000,0.000000,3.000000,205555.352343,22.000000,256379.876264,110820.728745,6.000000,0
28.000000,6.000000,0.000000,4.000000,482020.643008,19.000000,171403.701469,125011.642302,0.000000,0
65.000000,9.000000,28269.268004,4.000000,390917.340730,10.000000,439403.654707,61041.214244,5.000000,1
33.000000,20.000000,0.000000,2.000000,313715.669564,26.000000,181624.877842,133530.681171,3.000000,0
35.000000,10.000000,44080.017350,4.000000,847360.375810,30.000000,351364.311178,58854.554126,0.000000,1
34.000000,1.000000,0.000000,4.000000,183577.930195,9.000000,397407.020554,138282.005458,6.000000,0
65.000000,8.000000,72077.218059,0.000000,0.000000,13.000000,275150.578220,51828.196120,8.000000,1
55.000000,1.000000,0.000000,3.000000,740637.941800,27.000000,455353.614912,85637.948591,0.000000,1
65.000000,3.000000,0.000000,1.000000,516272.605276,23.000000,339832.248580,83129.527192,4.000000,0
34.000000,16.000000,77858.151147,1.000000,511394.247344,20.000000,12236.311008,64149.099957,3.000000,1
57.000000,9.000000,84271.206372,4.000000,617429.880251,29.000000,225882.397698,36175.943081,2.000000,0
21.000000,9.000000,0.000000,1.000000,529198.852553,10.000000,435798.362467,114128.081666,1.000000,0
78.000000,3.000000,0.000000,2.000000,392438.279754,5.000000,10108.758595,86839.871326,2.000000,0
28.000000,5.000000,18118.037797,3.000000,557643.252637,23.000000,122435.371612,22813.915464,0.000000,0
47.000000,7.000000,0.000000,2.000000,916679.596583,24.000000,192896.128452,84693.519058,1.000000,1
58.000000,8.000000,0.000000,3.000000,1004407.857403,28.000000,383368.687227,98139.830131,1.000000,1
48.000000,17.000000,0.000000,2.000000,0.000000,28.000000,227254.791689,144679.517569,8.000000,0
67.000000,7.000000,27613.429994,4.000000,0.000000,30.000000,315041.733402,66468.177214,8.000000,1
62.000000,1.000000,39616.803341,3.000000,353634.719725,4.000000,431916.705537,41847.206634,4.000000,1
80.000000,7.000000,61115.950183,1.000000,991550.547678,6.000000,228237.150579,59011.737454,1.000000,1
73.000000,1.000000,64405.494501,2.000000,276832.794677,14.000000,32084.201662,41396.113308,5.000000,1
40.000000,12.000000,0.000000,4.000000,388224.279209,18.000000,276067.549321,148312.154654,3.000000,0
43.000000,11.000000,39187.608033,3.000000,0.000000,2.000000,428181.640851,44793.192850,8.000000,0
52.000000,8.000000,0.000000,1.000000,161776.042310,21.000000,324269.449619,127885.396601,6.000000,0
54.000000,15.000000,33878.470157,1.000000,0.000000,4.000000,307066.863701,34660.895940,8.000000,0
43.000000,16.000000,22744.201832,0.000000,395885.236946,22.000000,427290.832883,36125.579490,1.000000,0
20.000000,20.000000,64823.722261,3.000000,411628.004157,21.000000,459736.439998,33851.855038,5.000000,0
54.000000,6.000000,69742.199796,0.000000,0.000000,15.000000,26028.417931,22117.955745,8.000000,0
