@RELATION WAVEFORM_Gradual_Simple

@ATTRIBUTE 0 NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE 9 NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE 11 NUMERIC
@ATTRIBUTE 12 NUMERIC
@ATTRIBUTE 13 NUMERIC
@ATTRIBUTE 14 NUMERIC
@ATTRIBUTE 15 NUMERIC
@ATTRIBUTE 16 NUMERIC
@ATTRIBUTE 17 NUMERIC
@ATTRIBUTE 18 NUMERIC
@ATTRIBUTE 19 NUMERIC
@ATTRIBUTE 20 NUMERIC
@ATTRIBUTE class {0,1,2}

@DATA
-0.161323,0.843527,3.280905,3.326208,2.347242,3.519741,3.862653,4.187004,2.157665,3.882691,4.945638,3.264094,1.073499,0.437628,1.107284,1.594713,-0.754258,0.977570,0.924884,0.669138,-0.290626,1
-0.274583,0.096705,0.758378,-0.302329,1.151092,0.956830,3.014042,2.634072,3.847498,3.813201,6.793201,3.850661,4.036411,3.791230,2.014175,1.646717,1.562095,2.888432,0.279793,1.579842,-0.910524,2
0.522842,-0.269904,-0.543119,-0.682215,-0.438025,1.345622,1.918810,3.741512,4.196684,5.062564,4.692830,5.572319,3.892010,2.359202,2.304030,1.144287,-0.359755,0.656534,0.301474,0.582364,0.149067,1
0.933776,3.248012,2.501587,3.128176,3.156185,4.815940,3.671458,5.684990,2.519813,2.264166,0.836566,1.955525,2.367117,0.029675,0.056971,2.254392,0.820830,0.336841,1.203339,0.306759,2.744948,0
0.141362,0.557364,-0.990557,2.582408,2.494972,3.493122,4.902020,3.916651,2.039909,2.218897,3.599432,1.155793,-0.738886,0.698209,2.492205,1.656005,0.974157,-0.384117,1.588114,0.553786,0.350254,0
-0.627030,-0.881607,2.311170,1.128327,0.913069,1.357718,2.086596,1.325728,1.828441,1.127901,2.453119,2.551917,3.058322,1.215764,5.021763,4.683374,0.047393,3.200007,0.917289,-0.848805,-0.171944,0
0.794104,-0.122477,-0.807746,-1.824680,-0.410989,0.918820,0.941530,0.520010,0.222014,2.173688,0.943108,4.184010,4.964022,4.244956,4.866100,4.116753,5.987556,3.822771,1.594945,1.270113,0.916291,0
-0.871626,2.248934,0.505985,3.827298,4.738894,5.247039,6.380182,3.176449,4.304020,2.292531,1.244616,-0.054393,-0.645786,-0.941745,-0.159304,0.594890,-0.195636,1.249207,-1.033437,-0.162688,0.524933,0
1.066489,-0.621495,0.111352,-1.535858,-0.334170,1.804560,0.002010,-1.101760,-0.624341,0.467229,2.097374,4.513432,4.284152,5.268806,6.027777,4.309551,5.526370,2.647266,2.220049,0.051261,0.559685,2
-1.475748,0.206597,2.037488,2.655443,0.910037,4.051447,3.190867,2.703534,4.135661,3.525531,3.275953,0.503982,1.876086,2.857798,-1.260034,0.378546,0.113471,0.981618,-1.100476,-0.061780,1.550697,1
