=== STDOUT ===

Dataset metadata
Attributes: 4
Classes:    2
populationSize 25
numberGenerations 50
numberRulesClass 5
numberWindows 5
fadingFactor 0.5
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),NumberRules,NumberConditions,NumberNodes
3000.0,25.140632751,0.0,3000.0,62.06666666666667,17.96172123710073,13.983371126228267,-22.10300429184549,3000.0,0.0,10.0,15.0,50.0


=== STDERR ===

{M}assive {O}nline {A}nalysis
Version:  20.07 July 2020
Copyright: (C) 2007-2020 University of Waikato, Hamilton, New Zealand
Web: http://moa.cms.waikato.ac.nz/

- 0.00s [running] Doing task EvaluateInterleavedTestThenTrain...               
\ 0.27s [running] 9.01% Evaluating learner...                                  
| 0.56s [running] 9.01% Evaluating learner...                                  
/ 0.87s [running] 9.20% Evaluating learner...                                  
- 1.26s [running] 9.28% Evaluating learner...                                  
\ 1.76s [running] 9.32% Evaluating learner...                                  
| 2.28s [running] 9.35% Evaluating learner...                                  
/ 2.88s [running] 9.37% Evaluating learner...                                  
- 3.53s [running] 18.76% Evaluating learner...                                 
\ 4.19s [running] 18.77% Evaluating learner...                                 
| 4.85s [running] 18.78% Evaluating learner...                                 
/ 5.53s [running] 28.18% Evaluating learner...                                 
- 6.19s [running] 28.18% Evaluating learner...                                 
\ 6.85s [running] 28.18% Evaluating learner...                                 
| 7.37s [running] 28.18% Evaluating learner...                                 
/ 7.96s [running] 28.19% Evaluating learner...                                 
- 8.55s [running] 37.58% Evaluating learner...                                 
\ 9.16s [running] 37.58% Evaluating learner...                                 
| 9.83s [running] 37.60% Evaluating learner...                                 
/ 10.50s [running] 46.99% Evaluating learner...                                
- 11.18s [running] 47.01% Evaluating learner...                                
\ 11.86s [running] 46.99% Evaluating learner...                                
| 12.56s [running] 56.39% Evaluating learner...                                
/ 13.25s [running] 56.40% Evaluating learner...                                
- 13.93s [running] 56.40% Evaluating learner...                                
\ 14.59s [running] 56.40% Evaluating learner...                                
| 15.28s [running] 65.80% Evaluating learner...                                
/ 15.89s [running] 65.81% Evaluating learner...                                
- 16.48s [running] 65.81% Evaluating learner...                                
\ 17.07s [running] 65.82% Evaluating learner...                                
| 17.63s [running] 75.20% Evaluating learner...                                
/ 18.32s [running] 75.23% Evaluating learner...                                
- 19.01s [running] 75.23% Evaluating learner...                                
\ 19.69s [running] 84.63% Evaluating learner...                                
| 20.38s [running] 84.63% Evaluating learner...                                
/ 21.05s [running] 84.62% Evaluating learner...                                
- 21.74s [running] 94.04% Evaluating learner...                                
\ 22.42s [running] 94.01% Evaluating learner...                                
| 23.10s [running] 94.03% Evaluating learner...                                
/ 23.78s [running] 100.00% Evaluating learner...                               
- 24.44s [running] 100.00% Evaluating learner...                               
\ 24.99s [running] 100.00% Evaluating learner...                               
Can not access instrumentation environment.
Please check if jar file containing SizeOfAgent class is 
specified in the java's "-javaagent" command line argument.
                                                                               
Task completed in 25.21s (CPU time)

