@RELATION WAVEFORM_Abrupt_Simple

@ATTRIBUTE 0 NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE 9 NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE 11 NUMERIC
@ATTRIBUTE 12 NUMERIC
@ATTRIBUTE 13 NUMERIC
@ATTRIBUTE 14 NUMERIC
@ATTRIBUTE 15 NUMERIC
@ATTRIBUTE 16 NUMERIC
@ATTRIBUTE 17 NUMERIC
@ATTRIBUTE 18 NUMERIC
@ATTRIBUTE 19 NUMERIC
@ATTRIBUTE 20 NUMERIC
@ATTRIBUTE class {0,1,2}

@DATA
0.913234,-0.231784,0.608092,-1.548963,1.243553,0.518806,0.441777,0.681512,2.736005,4.016727,3.611524,5.331984,3.380957,2.259906,3.047898,3.258623,1.741092,2.309476,1.406904,0.484811,-0.547066,2
0.443014,1.860049,-0.286685,3.814415,4.122607,4.277932,5.721833,5.061346,2.827329,2.310350,2.992204,2.366998,0.090571,0.298111,-0.399597,0.153584,-0.155072,-0.343275,0.370895,1.258843,-0.406109,0
-1.551999,1.256921,2.831459,3.154236,4.301058,4.535985,5.026350,4.359067,5.178181,2.108449,6.348687,3.371594,1.193535,0.698971,1.731061,-0.538492,-1.003690,1.188320,0.114816,0.991703,-0.249336,1
0.795288,1.069638,2.883767,2.461158,1.638483,2.454077,2.064339,3.674472,3.211194,1.348641,2.646123,2.625339,2.583708,3.226417,3.547284,4.006144,1.771157,0.892291,1.043736,1.133683,-0.936120,0
0.026984,1.688171,-0.048429,1.751285,0.871031,-0.080212,3.754365,4.700569,3.529240,4.192159,6.252743,4.157481,2.472764,2.141508,-0.514859,1.280232,-0.515920,0.073509,-1.281897,-0.561633,0.688532,1
0.621194,1.310602,1.851356,1.286595,3.182772,3.881420,3.450171,3.024153,3.817448,4.223510,4.534038,3.228007,2.051005,2.414767,-0.286459,1.052741,-0.774841,0.926633,0.353584,-0.333564,-0.356318,1
2.033835,0.648763,0.858295,2.920054,3.744889,6.604731,4.826451,4.835338,4.264523,1.337967,4.083010,0.850926,0.252090,-0.117404,-0.753178,1.742582,-2.028176,0.848912,-0.481950,0.099812,0.023956,1
0.577338,0.822887,2.628690,1.405314,3.561826,6.021733,3.815081,4.900327,4.817138,3.103735,1.820227,2.217183,1.116334,2.268597,1.785731,0.307581,0.097528,0.691140,-1.645969,-0.203516,-0.920458,1
0.491570,0.729199,0.402793,2.015694,3.951134,4.461591,3.961914,3.949285,5.346597,4.417811,3.224599,1.050522,1.698988,0.565025,1.402974,-1.033640,-0.052295,0.040681,-0.653286,-1.558468,0.036815,1
-0.037071,0.697219,1.679848,2.046194,1.400929,1.355927,1.655106,2.712439,2.711273,2.948856,1.383785,1.941985,1.362723,3.005225,2.169711,3.226470,0.696198,0.359792,0.581399,1.488355,-0.224168,0
0.262210,0.629942,1.743833,1.396117,3.554553,4.044389,5.299488,4.897920,3.905452,2.098424,2.418968,3.537272,1.811280,1.774929,1.211876,0.574834,-1.739155,-0.780017,0.112470,1.556211,-1.041522,1
1.093296,1.534345,-0.408630,0.106347,0.728846,1.721534,2.584479,4.484520,5.019546,3.199339,5.201154,2.864889,3.074827,2.438019,2.330430,0.209694,0.239908,-0.366590,-1.442647,1.374370,-1.101365,1
-0.341981,1.097508,0.660697,3.353619,3.272039,2.691015,5.328196,4.076600,2.028428,3.678071,5.329796,4.330715,0.672480,2.174039,0.783735,1.074383,-0.139468,1.746022,0.773064,-0.875731,0.513790,1
0.668446,-0.813258,0.499001,-1.628370,1.885322,-0.857657,2.042278,0.520017,1.208759,3.134626,4.145027,2.262443,4.222243,4.548247,5.345671,4.998060,3.127051,-0.484290,0.826000,0.247085,0.758885,2
0.458330,-1.039187,1.300456,-0.286918,-0.463373,1.281500,2.915574,4.374932,1.840516,2.032418,6.230802,4.356906,4.407877,1.318812,0.227655,0.941439,-0.522459,0.790721,-0.178006,0.902760,-0.230852,1
0.679006,-1.156964,0.145424,-0.106668,0.309103,0.790293,1.280528,0.732846,4.569527,4.527563,5.226426,4.539483,5.717775,3.414125,2.810843,-1.196314,1.467291,-0.149952,1.863983,0.437081,-0.873945,2
2.497667,-2.353418,0.572625,0.371899,-0.424519,0.261272,2.246875,2.738010,2.085775,3.629169,4.077014,3.749585,5.415396,3.084313,0.936865,0.316321,1.828638,0.858900,-0.542957,1.537000,0.432344,2
0.440930,1.456573,1.660312,4.008504,2.741614,3.909699,7.150973,3.811232,1.814579,1.949566,1.923156,1.266899,0.924677,2.044386,0.371566,-0.192306,2.162250,1.679015,-0.406139,1.036153,1.788074,0
-0.172971,0.130950,-0.155344,-1.122906,-0.785512,0.394194,1.888952,0.884884,0.603897,1.574327,3.157415,3.146830,3.409385,4.005136,2.440321,1.353989,3.584145,0.213217,1.675071,0.770320,-1.393763,2
0.373829,1.038720,2.478420,3.824213,2.132635,2.930371,7.338295,5.281530,3.656175,4.557387,1.462784,0.727149,1.987851,1.539855,-0.010942,-0.160989,-0.325020,1.066432,-1.323663,1.417350,-0.583861,1
2.501780,0.823341,1.225857,2.810780,1.651750,2.967647,5.668398,5.531178,3.205964,3.705073,2.844286,2.966686,1.190504,-0.833335,1.995511,0.390055,0.500378,-0.623880,1.189267,-0.363598,0.676467,1
-1.946926,0.758464,0.014642,0.756059,-1.036697,0.739435,-0.131622,2.063268,2.055116,2.952645,3.246535,2.321726,4.853447,2.690651,5.349369,4.065369,3.740241,0.599307,-0.782670,-0.129130,-0.727626,2
0.574220,-0.574241,2.312190,1.701051,2.525987,4.563846,6.418752,5.806132,3.258127,3.197554,2.197064,1.093477,3.069249,0.163499,-0.133028,-0.159721,-0.948987,2.382859,0.885962,1.526698,0.435294,1
-0.807935,1.971960,-0.007585,-1.148626,0.954367,1.362910,0.228563,2.129406,4.884006,3.952338,6.088605,2.558687,6.434539,3.411674,3.677858,3.327576,2.216900,2.655953,0.863732,1.161338,0.720588,2
-0.071599,0.795961,0.504114,0.711495,3.762511,4.782840,4.651307,4.266943,4.294444,1.369605,3.099054,2.537816,-0.795000,0.139012,-1.769382,1.884686,-1.561459,1.722895,0.263715,0.166506,-1.516857,0
1.532953,-0.483973,1.394015,2.708502,2.653473,1.998170,1.656334,2.786793,2.078148,2.188949,0.843163,4.017440,2.683571,4.111187,2.427351,2.813944,0.782951,-0.497225,-1.591806,0.565718,0.047286,0
