@RELATION SEA_Abrupt_Recurring

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
9.401450,1.063820,1.966503,1
8.191057,4.365260,1.828717,1
6.430049,5.578261,7.648001,1
6.987622,2.601194,4.524635,1
7.851278,0.661018,2.526381,1
6.445205,1.075257,6.173146,1
6.620614,5.082333,8.001905,1
4.687086,3.346551,8.434738,1
3.222432,5.761746,9.952578,1
4.733902,1.862487,1.914498,0
9.611757,9.740002,8.693860,1
1.255395,0.708760,5.474575,0
2.682741,8.257198,6.493176,1
4.334173,1.754218,6.636237,0
1.691144,6.508061,7.902027,1
4.288767,4.517395,6.128391,1
4.202416,9.503707,2.865907,1
0.338903,6.363878,3.279378,0
3.802308,2.901658,6.515409,0
1.627248,2.098759,8.253818,0
4.979527,7.300684,2.961451,1
2.498675,1.962142,5.049074,0
3.117707,1.340497,3.939228,0
5.866373,4.787289,5.777177,1
4.303825,6.155568,6.854819,1
4.965518,9.799844,1.473140,1
8.811611,5.528981,9.210919,1
7.850984,7.594476,4.418430,1
2.866753,9.451136,6.949338,1
3.880489,6.582213,4.990264,1
7.576632,6.783089,6.329947,1
0.006887,7.086310,9.992023,1
4.432071,2.848692,7.342078,1
6.471564,8.595142,4.002757,1
4.947273,9.791979,3.662265,1
2.813931,5.654262,8.264270,1
6.328959,8.065403,5.545439,1
3.380866,4.693640,5.437777,1
7.753689,2.527461,1.265860,1
9.058264,4.596976,0.619984,1
0.794588,1.395398,5.445205,0
5.278532,0.015334,1.194649,0
8.896565,3.931165,6.741623,1
8.442370,6.593026,0.575772,1
2.803635,3.054582,7.826753,0
7.994152,5.354212,0.192041,1
2.809394,5.524718,1.789954,1
2.846444,1.507139,8.898135,0
7.357564,5.520655,6.051143,1
3.766883,5.045100,6.762327,1
2.727470,8.557796,8.479165,1
8.480850,9.206913,8.688409,1
3.403409,9.145883,5.334324,1
1.958988,1.386584,3.093327,0
9.676031,8.856492,4.129452,1
5.158701,8.359217,3.876207,1
0.965266,6.882474,9.052555,1
9.301726,4.116665,4.735141,1
0.241769,9.205864,0.475942,1
7.522039,5.412240,2.947064,1
6.131273,9.243488,2.137675,1
7.004433,8.565076,2.981792,1
8.430576,3.944559,6.500963,1
3.147436,0.606457,7.633771,0
5.301290,5.608232,8.834316,1
5.164538,4.073069,2.603773,1
8.804901,5.506103,6.073813,1
9.566116,7.813294,7.288875,1
3.998820,5.561618,7.429831,1
3.561905,8.166682,9.448515,1
0.993336,5.024930,7.567434,0
4.027500,3.713759,3.687079,1
8.703621,0.377301,1.844428,1
5.095935,0.526918,8.194815,0
4.478909,0.717043,1.524272,0
7.857007,7.797675,5.015901,1
4.286100,9.351624,0.144817,1
4.129010,3.638248,0.378638,1
0.825011,3.253103,2.819282,0
1.813423,9.571523,8.247757,1
0.344602,0.738247,3.114328,0
9.600563,8.723129,5.921184,1
7.615286,8.203097,1.696296,1
3.121339,9.984137,8.227103,1
5.867985,3.247615,0.819974,1
9.902517,2.656443,4.061259,1
1.193066,9.664654,7.548290,1
9.288159,9.363005,6.987568,1
1.887596,8.978892,0.073561,1
4.589477,3.571603,6.501552,1
